retailer_id,store_id,shipment_id,shipped_dttm,refund_id,refund_created_dttm,return_reason,return_kind,goods_sum,cogs_sum,retailer_sku,product_sku,master_category,parent_category,item_return_quantity,item_price,total_item_price,total_item_return_sum,total_item_sum,marking_system,order_state
122,12295,8433285417774978115,,380869,2022-10-01T07:12:03,Отмена заказа,full,1014.0,1065.17,9072651204,15064214,Свежие овощи,"Овощи, зелень, грибы",1.0,18.0,18.0,18.0,18.0,,canceled
122,12295,8433285417774978115,,380869,2022-10-01T07:12:03,Отмена заказа,full,1014.0,1065.17,1000175431,60539,Колбасы,Колбасные изделия и мясные деликатесы,1.0,130.0,130.0,130.0,130.0,,canceled
122,12295,8433285417774978115,,380869,2022-10-01T07:12:03,Отмена заказа,full,1014.0,1065.17,1000420524,19221850,Колбасы,Колбасные изделия и мясные деликатесы,1.0,100.0,100.0,100.0,100.0,,canceled
122,12295,8433285417774978115,,380869,2022-10-01T07:12:03,Отмена заказа,full,1014.0,1065.17,3133780401,18045986,Сахар и сахарозаменители,Бакалея,5.0,60.0,60.0,300.0,300.0,,canceled
122,12295,8433285417774978115,,380869,2022-10-01T07:12:03,Отмена заказа,full,1014.0,1065.17,1000375622,193048,Сыры,Сыры,1.0,180.0,180.0,180.0,180.0,,canceled
122,12295,8433285417774978115,,380869,2022-10-01T07:12:03,Отмена заказа,full,1014.0,1065.17,3412070012,15176501,Свежие овощи,"Овощи, зелень, грибы",1.0,76.0,76.0,76.0,76.0,,canceled
122,12295,8433285417774978115,,380869,2022-10-01T07:12:03,Отмена заказа,full,1014.0,1065.17,1000275257,209709,Сосиски и сардельки,Колбасные изделия и мясные деликатесы,1.0,100.0,100.0,100.0,100.0,,canceled
28,385,10481199571507004954,2022-12-06T14:27:00,634931,2022-12-07T07:16:34,Недовоз,part,1327.95,1293.05,284415,19254150,Творог и творожная масса,"Молочные продукты, яйца",2.0,34.9,34.9,69.8,69.8,,complete
148,10658,14617539813533766928,,727197,2022-12-21T12:48:07,Отмена заказа,full,665.0,,61442,16426573,"БАДы, пищевые добавки и витамины",Витамины и БАД,1.0,154.0,154.0,154.0,154.0,,canceled
148,10658,14617539813533766928,,727197,2022-12-21T12:48:07,Отмена заказа,full,665.0,,98688,16302986,Лекарства,Лекарственные препараты,1.0,387.0,387.0,387.0,387.0,,canceled
148,10658,14617539813533766928,,727197,2022-12-21T12:48:07,Отмена заказа,full,665.0,,333003,17795355,"БАДы, пищевые добавки и витамины",Витамины и БАД,1.0,124.0,124.0,124.0,124.0,,canceled
1,1,7869679440622261730,2023-01-19T17:52:40,890380,2023-01-19T17:54:37,Качество товара,part,4603.1,3958.8,113316,10582,Яйца,"Молочные продукты, яйца",1.0,99.0,99.0,99.0,99.0,{mercury},complete
3,2167,6274449360733443483,2022-12-27T14:02:50,765679,2022-12-27T14:14:19,Недовоз,part,2926.88,2926.93,1000156505,15177254,"Овощные полуфабрикаты, смеси","Овощи, зелень, грибы",0.312,200.0,62.4,62.4,62.4,,complete
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,1000129613,17710451,Варенье и джем,Сладости,1.0,99.99,99.99,99.99,99.99,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,1000027434,15573149,"Хлеб, тосты, лаваш",Хлеб и выпечка,4.0,45.0,45.0,180.0,180.0,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,1000247917,99896,Колбасы,Колбасные изделия и мясные деликатесы,1.0,199.99,199.99,199.99,199.99,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,1348900003,15063142,Макаронные изделия и паста,Бакалея,2.0,39.99,39.99,79.98,79.98,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,3102073607,15063554,Колбасы,Колбасные изделия и мясные деликатесы,0.825,359.9,296.92,296.92,296.92,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,1000279896,15074660,Сыры,Сыры,1.0,729.9,729.9,729.9,729.9,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,9019013117,116345,Грибы,"Овощи, зелень, грибы",1.0,97.99,97.99,97.99,97.99,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,1728400030,31334,Майонез,"Соусы, специи и приправы",1.0,209.99,209.99,209.99,209.99,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,1899910817,15189950,Сыры,Сыры,0.656,649.9,426.33,426.33,426.33,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,1000373535,198738,Макаронные изделия и паста,Бакалея,1.0,56.99,56.99,56.99,56.99,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,1000373532,112327,Макаронные изделия и паста,Бакалея,1.0,56.99,56.99,56.99,56.99,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,6949995050,15091758,"Колготки, чулки","Одежда, обувь, аксессуары",1.0,299.99,299.99,299.99,299.99,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,9072651501,15064217,Свежие фрукты,Фрукты и ягоды,1.582,79.99,126.54,126.54,126.54,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,1000220769,83498,"Крупы, бобы",Бакалея,1.0,69.99,69.99,69.99,69.99,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,2199910054,94396,Все для выпечки и десертов,Бакалея,5.0,9.39,9.39,46.95,46.95,,canceled
3,2157,760817468955560288,,,2022-11-23T14:13:09,Отмена заказа,full,3078.53,3290.21,1000309301,396370,Варенье и джем,Сладости,1.0,99.99,99.99,99.99,99.99,,canceled
